category,subcategory,profile
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2059/government-africa-political-mbti-personality-type,https://www.personality-database.com/profile/11643/anwar-elsadat-government-africa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2059/government-africa-political-mbti-personality-type,https://www.personality-database.com/profile/11644/hosni-mubarak-government-africa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2059/government-africa-political-mbti-personality-type,https://www.personality-database.com/profile/39923/mohamed-morsi-government-africa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2059/government-africa-political-mbti-personality-type,https://www.personality-database.com/profile/30011/nana-akufo-addo-government-africa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2059/government-africa-political-mbti-personality-type,https://www.personality-database.com/profile/36157/robert-mugabe-government-africa-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/2159/kim-jong-un-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/3735/akihito-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/6764/ali-khamenei-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/28253/anies-baswedan-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/26278/asif-ali-zardari-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/15651/aung-san-suu-kyi-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/11645/bashar-alassad-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/28251/basuki-tjahaja-purnama-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/12471/benjamin-netanyahu-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/49999/blent-ecevit-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/44016/carrie-lam-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/41167/deng-xiaoping-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/48946/ekrem-mamolu-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/49437/goh-chok-tong-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/28548/hamid-karzai-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/37655/han-kuoyu-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/30037/hassan-ghazizadeh-hashemi-governmentasia-mbti-personality-type
https://www.personality-database.com/category/6/Political/mbti-personality-type,https://www.personality-database.com/subcategory/2057/governmentasia-political-mbti-personality-type,https://www.personality-database.com/profile/6846/hassan-rouhani-governmentasia-mbti-personality-type
