Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,name,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ti,Se,100%,,,Ni,,,0%,25%,88%,75%,0%,75%,100%,Fe,,https://api.personality-database.com/profile_images/16790.png,Jason Isaacs,https://www.personality-database.com/profile/16790/jason-isaacs-actors-british-isles-mbti-personality-type,,,1,1,,,,6,,,,,,,,
Fe,Ni,,,100%,Fe,,100%,50%,50%,,,0%,0%,,Si,50%,https://api.personality-database.com/profile_images/22506.png,Jeremy Brett,https://www.personality-database.com/profile/22506/jeremy-brett-actors-british-isles-mbti-personality-type,,,,,,,,,1,,,1,,,,
Fe,Ni,,75%,100%,Se,100%,100%,75%,25%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/16756.png,Jeremy Irons,https://www.personality-database.com/profile/16756/jeremy-irons-actors-british-isles-mbti-personality-type,,,,,,,,,9,,3,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/16740.png,John Hurt,https://www.personality-database.com/profile/16740/john-hurt-actors-british-isles-mbti-personality-type,,,,,,,,,,8,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,John Rhys-Davies,https://www.personality-database.com/profile/22596/john-rhysdavies-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,,,5
Ne,Fi,,100%,63%,Te,,88%,88%,0%,75%,,0%,13%,,Si,,https://api.personality-database.com/profile_images/24097.png,Jude Law,https://www.personality-database.com/profile/24097/jude-law-actors-british-isles-mbti-personality-type,2,,,,,1,,,,5,,,,,,
Ni,Fe,89%,100%,,Ti,56%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/10189.png,Kenneth Branagh,https://www.personality-database.com/profile/10189/kenneth-branagh-actors-british-isles-mbti-personality-type,5,3,,,,,,,,1,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,Kenneth Connor,https://www.personality-database.com/profile/22531/kenneth-connor-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,1,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,Kenneth Williams,https://www.personality-database.com/profile/22524/kenneth-williams-actors-british-isles-mbti-personality-type,,,,,1,,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,9%,0%,91%,91%,4%,87%,,Ni,,https://api.personality-database.com/profile_images/9951.png,Kit Harington,https://www.personality-database.com/profile/9951/kit-harington-actors-british-isles-mbti-personality-type,,,,,,,,,1,1,,,1,20,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,Lee Evans,https://www.personality-database.com/profile/22562/lee-evans-actors-british-isles-mbti-personality-type,,,,1,,,,,,,,,,,,
Fe,Ni,,77%,84%,Se,90%,77%,74%,3%,,,16%,6%,,Ti,,https://api.personality-database.com/profile_images/432.png,Liam Neeson,https://www.personality-database.com/profile/432/liam-neeson-actors-british-isles-mbti-personality-type,,1,,,,,3,1,22,,1,,1,,1,1
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/11748.png,Luke Evans,https://www.personality-database.com/profile/11748/luke-evans-actors-british-isles-mbti-personality-type,,,,,,,,,5,,,,,,,
Si,Te,100%,,,Fi,100%,,20%,0%,,80%,80%,0%,80%,Ne,,https://api.personality-database.com/profile_images/22570.png,Malcolm McDowell,https://www.personality-database.com/profile/22570/malcolm-mcdowell-actors-british-isles-mbti-personality-type,1,,,,,,4,,,,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,/images/profile_transparent.png,Mark McKenna,https://www.personality-database.com/profile/23608/mark-mckenna-actors-british-isles-mbti-personality-type,,,,,,,,,,,,,,1,,
Ne,Fi,,78%,81%,Te,,89%,70%,19%,85%,,7%,4%,,Si,,https://api.personality-database.com/profile_images/586.png,Martin Freeman,https://www.personality-database.com/profile/586/martin-freeman-actors-british-isles-mbti-personality-type,1,,,1,1,1,1,,,18,1,3,,,,
