category,subcategory,profile
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/50526/lana-turner-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/9674/lauren-bacall-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/11759/leonard-nimoy-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/43804/lillian-gish-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/42515/lon-cheney-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/43126/lou-costello-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/29860/lucille-ball-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/1051/marilyn-monroe-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/29246/marlene-dietrich-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/6459/marlon-brando-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/43583/mel-blanc-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/3195/michael-caine-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/48837/montgomery-clift-people-of-classic-hollywood-mbti-personality-type
https://www.personality-database.com/category/1/Pop-Culture/mbti-personality-type,https://www.personality-database.com/subcategory/3392/people-of-classic-hollywood-pop-culture-mbti-personality-type,https://www.personality-database.com/profile/35432/natalie-wood-people-of-classic-hollywood-mbti-personality-type
