Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ne,Fi,,80%,100%,Te,,100%,80%,20%,100%,,0%,0%,,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/2294/franois-mitterand-governmenteurope-mbti-personality-type,,,,,,,,,,4,,1,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/23265/frankwalter-steinmeier-governmenteurope-mbti-personality-type,,,,,,,2,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,33%,80%,67%,7%,60%,100%,Fe,,https://api.personality-database.com/profile_images/5953.png,https://www.personality-database.com/profile/5953/geert-wilders-governmenteurope-mbti-personality-type,,,2,3,,,1,9,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/32658.png,https://www.personality-database.com/profile/32658/george-galloway-governmenteurope-mbti-personality-type,,1,,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/49998.png,https://www.personality-database.com/profile/49998/gerry-adams-governmenteurope-mbti-personality-type,,1,,,,,,,,,,,,,,
Si,Fe,67%,,,Fi,100%,,0%,0%,,100%,100%,0%,67%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/31388/giorgia-meloni-governmenteurope-mbti-personality-type,,,,,1,,1,,,,,,,,1,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,/images/profile_transparent.png,https://www.personality-database.com/profile/48524/giuseppe-conte-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,,1
Si,Si,,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Fi,50%,https://api.personality-database.com/profile_images/36554.png,https://www.personality-database.com/profile/36554/gordon-brown-governmenteurope-mbti-personality-type,,,,,,,1,,,,,,,,1,
Ni,Te,100%,,,Fi,80%,80%,20%,60%,,,0%,20%,80%,Se,,https://api.personality-database.com/profile_images/30712.png,https://www.personality-database.com/profile/30712/gudrun-schyman-governmenteurope-mbti-personality-type,1,,3,,,,,1,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/34359.png,https://www.personality-database.com/profile/34359/hanif-bali-governmenteurope-mbti-personality-type,,,,,,,,4,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/10328/helle-thorning-schmidt-governmenteurope-mbti-personality-type,,,,,2,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/49985.png,https://www.personality-database.com/profile/49985/ilir-meta-governmenteurope-mbti-personality-type,1,,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/50198.png,https://www.personality-database.com/profile/50198/ivn-espinosa-de-los-monteros-governmenteurope-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,83%,Fi,,https://api.personality-database.com/profile_images/33155.png,https://www.personality-database.com/profile/33155/jacob-reesmogg-governmenteurope-mbti-personality-type,,,,,,,,,,,,,1,,5,
Ti,Ne,75%,,,Si,,75%,0%,75%,,,25%,0%,100%,Fe,50%,https://api.personality-database.com/profile_images/30473.png,https://www.personality-database.com/profile/30473/janusz-korwinmikke-governmenteurope-mbti-personality-type,,,,2,,,1,,,,1,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32573.png,https://www.personality-database.com/profile/32573/jarosaw-kaczyski-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,2,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/50196.png,https://www.personality-database.com/profile/50196/javier-ortega-smith-governmenteurope-mbti-personality-type,,,,,,,,1,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/35638.png,https://www.personality-database.com/profile/35638/jeanclaude-juncker-governmenteurope-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/23664/jens-stoltenberg-governmenteurope-mbti-personality-type,,,,,,,,,,,1,,,,,
Fe,Ni,,86%,86%,Se,89%,93%,86%,7%,,,7%,0%,,Ti,,https://api.personality-database.com/profile_images/5883.png,https://www.personality-database.com/profile/5883/jeremy-corbyn-governmenteurope-mbti-personality-type,1,1,,,,,2,,21,1,1,1,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/26069.png,https://www.personality-database.com/profile/26069/jimmie-kesson-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,4,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/49996.png,https://www.personality-database.com/profile/49996/kersti-kaljulaid-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/10327/lars-lkke-rasmussen-governmenteurope-mbti-personality-type,,,,,,,,4,,,,,,,,
Si,Te,100%,,,Fi,100%,,33%,0%,,67%,67%,0%,67%,Ne,,https://api.personality-database.com/profile_images/32577.png,https://www.personality-database.com/profile/32577/lech-wasa-governmenteurope-mbti-personality-type,1,,,,,,2,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/35901.png,https://www.personality-database.com/profile/35901/lord-buckethead-governmenteurope-mbti-personality-type,,,,1,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/42561.png,https://www.personality-database.com/profile/42561/magid-magid-governmenteurope-mbti-personality-type,,1,,,,,,,,,,,,,,
Se,Fi,,100%,100%,Te,,,42%,0%,100%,58%,0%,58%,,Ni,,https://api.personality-database.com/profile_images/19751.png,https://www.personality-database.com/profile/19751/mariano-rajoy-governmenteurope-mbti-personality-type,,,,,,,,,,5,,,,7,,
Ni,Fe,100%,82%,,Ti,82%,91%,73%,18%,,,9%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/3351/matteo-renzi-governmenteurope-mbti-personality-type,7,1,1,1,1,,,,,,,,,,,
Si,Te,89%,,,Fi,89%,,0%,0%,,100%,89%,11%,78%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/14929/matteo-salvini-governmenteurope-mbti-personality-type,,,,,2,,5,1,,,,,,,1,
Se,Si,,,73%,Fe,,,0%,18%,55%,82%,36%,45%,100%,Fi,,https://api.personality-database.com/profile_images/8878.png,https://www.personality-database.com/profile/8878/milos-zeman-governmenteurope-mbti-personality-type,,,1,1,,,,1,,,,,,,4,4
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/49975.png,https://www.personality-database.com/profile/49975/mirek-topolnek-governmenteurope-mbti-personality-type,,,,,,,,1,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/23363/natalia-poklonskaya-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,2,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/48427.png,https://www.personality-database.com/profile/48427/oswald-mosley-governmenteurope-mbti-personality-type,,,1,,,,,,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,57%,100%,43%,57%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/30846/pablo-casado-governmenteurope-mbti-personality-type,,,,,3,4,,,,,,,,,,
Ti,Ne,85%,54%,,Si,,100%,54%,46%,100%,,0%,0%,,Fe,,https://api.personality-database.com/profile_images/19752.png,https://www.personality-database.com/profile/19752/pablo-iglesias-governmenteurope-mbti-personality-type,,5,,6,,,,,,2,,,,,,
Ni,Te,100%,,,Fi,88%,94%,38%,56%,,,0%,6%,63%,Se,,https://api.personality-database.com/profile_images/19750.png,https://www.personality-database.com/profile/19750/pedro-snchez-governmenteurope-mbti-personality-type,6,,8,1,,,,1,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/35144/robert-biedro-governmenteurope-mbti-personality-type,2,,,,,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/36405/robert-fico-governmenteurope-mbti-personality-type,,,,,,,2,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/37162.png,https://www.personality-database.com/profile/37162/rory-stewart-governmenteurope-mbti-personality-type,,,,,,,,,,1,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,71%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/13720/sauli-niinist-governmenteurope-mbti-personality-type,,,,,,,,,,,,,2,,5,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/48139.png,https://www.personality-database.com/profile/48139/sergey-lavrov-governmenteurope-mbti-personality-type,,,,1,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/29786.png,https://www.personality-database.com/profile/29786/simeon-saxecoburggotha-simeon-ii-governmenteurope-mbti-personality-type,,,,,,,,,,,,1,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/36406/tefan-harabin-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,1,
Si,Fe,71%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/23262/stefan-lofven-governmenteurope-mbti-personality-type,,,,,5,,,,,,,,2,,,
Si,Te,80%,,,Fi,98%,,0%,9%,,91%,89%,2%,98%,Ne,,https://api.personality-database.com/profile_images/3196.png,https://www.personality-database.com/profile/3196/theresa-may-governmenteurope-mbti-personality-type,,,3,,,1,32,,,,1,,,,8,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/6564/tim-farron-governmenteurope-mbti-personality-type,,,,,,,,,,,,,2,,,
Ni,Fe,100%,76%,,Si,53%,100%,76%,24%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/3134.png,https://www.personality-database.com/profile/3134/tony-blair-governmenteurope-mbti-personality-type,8,5,1,3,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,75%,0%,75%,,,25%,0%,100%,Se,,https://api.personality-database.com/profile_images/36634.png,https://www.personality-database.com/profile/36634/urho-kekkonen-governmenteurope-mbti-personality-type,,,3,,,,1,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/44680.png,https://www.personality-database.com/profile/44680/ursula-von-der-leyen-governmenteurope-mbti-personality-type,,,,,,,,,,,,,,,2,
Te,Ni,,,100%,Se,100%,67%,0%,67%,,,33%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/9263/vaclav-klaus-governmenteurope-mbti-personality-type,,,,,,,,,,,4,,,,2,
Te,Ni,,,75%,Se,75%,100%,13%,88%,,,0%,0%,88%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/8689/yanis-varoufakis-governmenteurope-mbti-personality-type,,1,,1,,,,,,,6,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/30453.png,https://www.personality-database.com/profile/30453/zuzana-aputov-governmenteurope-mbti-personality-type,4,,,,,,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/45133.png,https://www.personality-database.com/profile/45133/alexandre-frota-governmentlatin-america-mbti-personality-type,,,,,,,,6,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/48137.png,https://www.personality-database.com/profile/48137/baro-do-rio-branco-governmentlatin-america-mbti-personality-type,,,,,,,,,1,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/48563.png,https://www.personality-database.com/profile/48563/carlos-lacerda-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/48554.png,https://www.personality-database.com/profile/48554/carlos-marighella-governmentlatin-america-mbti-personality-type,,,,1,,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/48536.png,https://www.personality-database.com/profile/48536/celso-amorim-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,,1
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/50262.png,https://www.personality-database.com/profile/50262/celso-pitta-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,1,
Ti,Ne,100%,,,Si,,,0%,46%,75%,54%,25%,29%,100%,Fe,,https://api.personality-database.com/profile_images/15143.png,https://www.personality-database.com/profile/15143/ciro-gomes-governmentlatin-america-mbti-personality-type,,,,11,,,6,7,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/20968/claudia-lpez-hernndez-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Fe,Ni,,,,Fi,100%,100%,50%,50%,,,0%,0%,,Se,50%,https://api.personality-database.com/profile_images/48669.png,https://www.personality-database.com/profile/48669/clodovil-hernandes-governmentlatin-america-mbti-personality-type,,,1,,,,,,1,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/48589.png,https://www.personality-database.com/profile/48589/conte-lopes-governmentlatin-america-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/50251.png,https://www.personality-database.com/profile/50251/coronel-erasmo-dias-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/48568.png,https://www.personality-database.com/profile/48568/coronel-telhada-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/41236/cristina-fernndez-de-kirchner-governmentlatin-america-mbti-personality-type,,,,,2,,,,,,,,,,,
Si,Fe,86%,100%,,Ti,86%,,29%,0%,,71%,57%,14%,,Ne,,https://api.personality-database.com/profile_images/41730.png,https://www.personality-database.com/profile/41730/damares-alves-governmentlatin-america-mbti-personality-type,1,,,,4,1,,,1,,,,,,,
Te,Fe,,,64%,Ti,89%,,0%,29%,,71%,61%,11%,57%,Fi,,https://api.personality-database.com/profile_images/17821.png,https://www.personality-database.com/profile/17821/dilma-rousseff-governmentlatin-america-mbti-personality-type,,,,,9,1,,,,,8,,,2,8,
Si,Te,100%,,,Fi,100%,,0%,33%,,67%,67%,0%,100%,Ne,,https://api.personality-database.com/profile_images/45132.png,https://www.personality-database.com/profile/45132/eduardo-cunha-governmentlatin-america-mbti-personality-type,,,1,,,,2,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/48666.png,https://www.personality-database.com/profile/48666/eduardo-suplicy-governmentlatin-america-mbti-personality-type,,,,,,,,,,1,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/48657.png,https://www.personality-database.com/profile/48657/emlio-garrastazu-mdici-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Fi,Se,67%,67%,,Ni,,,0%,33%,100%,67%,0%,67%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/30983/enrique-pea-nieto-governmentlatin-america-mbti-personality-type,,,,,,2,,,,,,1,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/34798/evo-morales-governmentlatin-america-mbti-personality-type,2,,,,,,,,,,,,,,,
Ni,Te,100%,,,Fi,83%,83%,0%,83%,,,0%,17%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/22148/fernando-collor-governmentlatin-america-mbti-personality-type,,,5,,,,,1,,,,,,,,
Fe,Ni,,88%,88%,Se,94%,71%,71%,0%,,,24%,6%,,Ti,,https://api.personality-database.com/profile_images/16981.png,https://www.personality-database.com/profile/16981/fernando-haddad-governmentlatin-america-mbti-personality-type,,,,,1,,1,,12,,,,2,,,1
Te,Si,,,100%,Ne,100%,,0%,33%,,67%,67%,0%,100%,Fi,,https://api.personality-database.com/profile_images/22151.png,https://www.personality-database.com/profile/22151/fhc-governmentlatin-america-mbti-personality-type,,,,,,,,,,,2,,,,4,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/44789.png,https://www.personality-database.com/profile/44789/flvio-bolsonaro-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,1,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/50253.png,https://www.personality-database.com/profile/50253/general-newton-cruz-governmentlatin-america-mbti-personality-type,,,,,,,2,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/20977/gina-parody-governmentlatin-america-mbti-personality-type,,,,,1,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/48535.png,https://www.personality-database.com/profile/48535/golbery-do-couto-e-silva-governmentlatin-america-mbti-personality-type,,,,,,,,,,,1,,,,,
Fi,Ne,100%,83%,,Si,,100%,83%,17%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/45116.png,https://www.personality-database.com/profile/45116/guilherme-boulos-governmentlatin-america-mbti-personality-type,,5,,1,,,,,,,,,,,,
Ni,Fe,100%,,,Si,,100%,50%,50%,,,0%,0%,,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/12486/gustavo-petro-governmentlatin-america-mbti-personality-type,1,,,1,,,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/48759.png,https://www.personality-database.com/profile/48759/hamilton-mouro-governmentlatin-america-mbti-personality-type,,,1,,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/20982/ivn-duque-governmentlatin-america-mbti-personality-type,,,,,2,,,,,,,,,,,
Si,Te,97%,,,Fi,87%,,1%,4%,,95%,83%,12%,95%,Ne,,https://api.personality-database.com/profile_images/14751.png,https://www.personality-database.com/profile/14751/jair-bolsonaro-governmentlatin-america-mbti-personality-type,,,3,,2,1,62,7,,1,,,,,,1
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/48590.png,https://www.personality-database.com/profile/48590/janana-paschoal-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,1,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/43784/joo-dria-governmentlatin-america-mbti-personality-type,,,3,,,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/50234.png,https://www.personality-database.com/profile/50234/joaquim-barbosa-governmentlatin-america-mbti-personality-type,,,,,,,,,,,2,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/48214.png,https://www.personality-database.com/profile/48214/jorge-kajuru-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Te,Ni,,,75%,Se,100%,75%,0%,75%,,,25%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32093.png,https://www.personality-database.com/profile/32093/jos-antonio-kast-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,3,,,,,
Fe,Fe,,100%,,Se,100%,100%,100%,0%,,,0%,0%,,Se,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/31469/jos-batlle-y-ordoez-governmentlatin-america-mbti-personality-type,1,,,,,,,,1,,,,,,,
Fi,Fe,100%,100%,,Ni,,,0%,0%,,100%,50%,50%,,Ne,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/22147/jos-maria-eymael-governmentlatin-america-mbti-personality-type,,,,,1,1,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,80%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/26233.png,https://www.personality-database.com/profile/26233/jos-mujica-governmentlatin-america-mbti-personality-type,,,,,,,,,1,4,,,,,,
Si,Te,100%,,,Fi,100%,,33%,0%,,67%,67%,0%,67%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/34799/juan-guaid-governmentlatin-america-mbti-personality-type,1,,,,,,2,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/20980/juan-manuel-santos-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,1,,,,
Te,Si,,,92%,Ne,85%,,0%,23%,,77%,62%,15%,100%,Fi,,https://api.personality-database.com/profile_images/22974.png,https://www.personality-database.com/profile/22974/kim-patroca-kataguiri-governmentlatin-america-mbti-personality-type,,,,,,,,1,,,3,,,,8,1
Si,Te,100%,,,Fi,67%,,0%,33%,,67%,67%,0%,100%,Ne,,https://api.personality-database.com/profile_images/48664.png,https://www.personality-database.com/profile/48664/leonel-brizola-governmentlatin-america-mbti-personality-type,,,,1,,,2,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/48555.png,https://www.personality-database.com/profile/48555/lus-carlos-prestes-governmentlatin-america-mbti-personality-type,,,,,,,,,1,,,,,,,
Ni,Fe,97%,90%,,Ti,79%,83%,76%,7%,,,3%,14%,,Se,,https://api.personality-database.com/profile_images/13536.png,https://www.personality-database.com/profile/13536/lula-governmentlatin-america-mbti-personality-type,20,2,1,,1,3,,1,,,1,,,,,
Fi,Ne,100%,100%,,Si,,89%,89%,0%,89%,,11%,0%,,Te,,https://api.personality-database.com/profile_images/17820.png,https://www.personality-database.com/profile/17820/manuela-dvila-governmentlatin-america-mbti-personality-type,,8,,,1,,,,,,,,,,,
Fe,Ni,,67%,89%,Se,89%,78%,44%,33%,,,22%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/24306/marina-silva-governmentlatin-america-mbti-personality-type,,,,,1,,,,3,1,3,,1,,,
Ti,Se,86%,,,Ni,,,0%,0%,86%,100%,14%,86%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/27927/mauricio-macri-governmentlatin-america-mbti-personality-type,,,,,,,1,5,,,,,,,,1
Te,Si,,,100%,Ne,100%,,0%,27%,,73%,73%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/22150/michel-temer-governmentlatin-america-mbti-personality-type,,,,,,,,,,,3,,,,8,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/30017/michelle-bachelet-governmentlatin-america-mbti-personality-type,,,,,3,,,,,,,,,,,
Si,Te,100%,,,Fi,57%,,36%,0%,,64%,50%,14%,57%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/25390/nicols-maduro-governmentlatin-america-mbti-personality-type,1,4,,,,1,7,1,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/48566.png,https://www.personality-database.com/profile/48566/paulo-guedes-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,2,
Ti,Ne,100%,,,Ni,,,0%,50%,100%,,0%,50%,100%,Fe,50%,https://api.personality-database.com/profile_images/48215.png,https://www.personality-database.com/profile/48215/paulo-maluf-governmentlatin-america-mbti-personality-type,,,,2,,,,2,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/48140.png,https://www.personality-database.com/profile/48140/pc-farias-governmentlatin-america-mbti-personality-type,,,,,,,1,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/34350.png,https://www.personality-database.com/profile/34350/ral-alfonsn-governmentlatin-america-mbti-personality-type,,,,,,,,,1,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/48570/ulysses-guimares-governmentlatin-america-mbti-personality-type,,,,,,,,,,,1,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/33410/vincente-fox-governmentlatin-america-mbti-personality-type,,,,,,,3,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/48576.png,https://www.personality-database.com/profile/48576/zlia-cardoso-de-mello-governmentlatin-america-mbti-personality-type,,,,,,,,,,,,,,,1,
Si,Te,94%,,,Fi,89%,,0%,19%,,81%,77%,4%,98%,Ne,,https://api.personality-database.com/profile_images/2185.png,https://www.personality-database.com/profile/2185/ted-cruz-governmentusa-mbti-personality-type,,,5,3,,1,35,,,,1,,,,1,1
Si,Fe,97%,97%,,Ti,97%,,3%,0%,,97%,94%,3%,,Ne,,https://api.personality-database.com/profile_images/10290.png,https://www.personality-database.com/profile/10290/sarah-palin-governmentusa-mbti-personality-type,1,,,,30,,,1,,,,,1,,,
