Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/22680.png,https://www.personality-database.com/profile/22680/maram-susli-syriangirlpartisan-online-social-cultural-political-commentators-mbti-personality-type,1,,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/41966.png,https://www.personality-database.com/profile/41966/marcus-turner-cosmonaut-variety-hour-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Fe,100%,100%,,Ti,100%,67%,67%,0%,,,33%,0%,,Se,,https://api.personality-database.com/profile_images/28861.png,https://www.personality-database.com/profile/28861/mario-brisson-the-vigilant-christian-online-social-cultural-political-commentators-mbti-personality-type,4,,,,2,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47326/mark-collett-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/48983.png,https://www.personality-database.com/profile/48983/martin-ei-goldberg-economic-invincibility-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,3,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/34918/matt-christman-online-social-cultural-political-commentators-mbti-personality-type,,1,,,,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/47583/matt-forney-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,,,,,,,,,
Fi,Fe,100%,100%,,Si,,100%,100%,0%,,,0%,0%,,Se,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/49603/michael-brooks-online-social-cultural-political-commentators-mbti-personality-type,1,1,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/32890.png,https://www.personality-database.com/profile/32890/moe-othman-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Si,Te,93%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/28136.png,https://www.personality-database.com/profile/28136/nando-moura-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,13,,,,,,,,1,
Ne,Fi,,87%,57%,Te,,100%,87%,13%,93%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/21352.png,https://www.personality-database.com/profile/21352/natalie-wynn-contrapoints-online-social-cultural-political-commentators-mbti-personality-type,,9,1,3,,,,,1,16,,,,,,
Ti,Se,100%,,,Ni,,,0%,20%,80%,80%,0%,80%,100%,Fe,,https://api.personality-database.com/profile_images/30054.png,https://www.personality-database.com/profile/30054/nicole-arbour-online-social-cultural-political-commentators-mbti-personality-type,,,1,,,,,4,,,,,,,,
Ti,Se,67%,,,Ni,,,33%,0%,67%,67%,0%,67%,67%,Fe,,https://api.personality-database.com/profile_images/34463.png,https://www.personality-database.com/profile/34463/nuance-bro-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,2,1,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/50055/oliver-noronha-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Fe,67%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/33868.png,https://www.personality-database.com/profile/33868/oliver-thorn-philosophy-tube-online-social-cultural-political-commentators-mbti-personality-type,6,,,,,,,,3,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/48390/patrick-casey-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Fi,Ne,100%,67%,,Si,,67%,33%,33%,100%,,0%,33%,,Te,,https://api.personality-database.com/profile_images/32643.png,https://www.personality-database.com/profile/32643/paul-parkey-paulsego-online-social-cultural-political-commentators-mbti-personality-type,,1,,1,,1,,,,,,,,,,
Te,Ni,,,60%,Se,80%,80%,0%,80%,,,20%,0%,100%,Fi,,https://api.personality-database.com/profile_images/33131.png,https://www.personality-database.com/profile/33131/paulo-kogos-online-social-cultural-political-commentators-mbti-personality-type,,,1,1,,,,,,,2,,,,1,
Ti,Ne,57%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/28134.png,https://www.personality-database.com/profile/28134/paulo-miranda-nascimento-pirula-online-social-cultural-political-commentators-mbti-personality-type,,,,4,,,,,,,,3,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47591/raging-golden-eagle-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Se,Ti,,,75%,Fe,,,8%,0%,100%,92%,0%,92%,92%,Ni,,https://api.personality-database.com/profile_images/30077.png,https://www.personality-database.com/profile/30077/ram-karavadra-gradeaundera-online-social-cultural-political-commentators-mbti-personality-type,,1,,,,,,2,,,,,,,,9
Ne,Fi,,75%,75%,Te,,100%,75%,25%,75%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/18043.png,https://www.personality-database.com/profile/18043/raphal-lima-ideias-radicais-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,1,2,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/47585/richard-cooper-entrepreneurs-in-cars-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,1,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/50064/right-ruminations-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,1,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/36156.png,https://www.personality-database.com/profile/36156/robert-houghton-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,1,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/48251/robert-stark-stark-truth-tv-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Fe,Ni,,100%,100%,Ne,100%,,50%,0%,,,50%,0%,,Ti,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/49125/rogrio-betin-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,1,,,,1,,,
Fi,Ne,100%,,,Si,,83%,33%,50%,100%,,0%,17%,,Fe,50%,https://api.personality-database.com/profile_images/27952.png,https://www.personality-database.com/profile/27952/roman-abalin-nfkrz-online-social-cultural-political-commentators-mbti-personality-type,,2,,3,,1,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/30246.png,https://www.personality-database.com/profile/30246/rony-dasgupta-the-rawknee-show-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/21556.png,https://www.personality-database.com/profile/21556/ryan-bergara-online-social-cultural-political-commentators-mbti-personality-type,,5,,,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,75%,Fi,,https://api.personality-database.com/profile_images/21351.png,https://www.personality-database.com/profile/21351/sam-collins-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,1,,3,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/48538/sandman-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,1,,,,,
Te,Ni,,,67%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32644.png,https://www.personality-database.com/profile/32644/scotty-kirk-deep-fat-fried-online-social-cultural-political-commentators-mbti-personality-type,,,1,,,,,,,,2,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/45645/sean-the-dick-show-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/49916/shannon-q-online-social-cultural-political-commentators-mbti-personality-type,,,1,,,,,,,,,,,,,
Ti,Te,95%,,,Fi,54%,85%,2%,83%,,,7%,7%,98%,Fe,,https://api.personality-database.com/profile_images/16274.png,https://www.personality-database.com/profile/16274/stefan-molyneux-online-social-cultural-political-commentators-mbti-personality-type,1,,17,16,,,2,3,,,1,,,,1,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/31229.png,https://www.personality-database.com/profile/31229/steve-schuto-space-frogs-online-comedians-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Si,,,100%,Ne,100%,,0%,0%,,100%,100%,0%,100%,Fi,,https://api.personality-database.com/profile_images/32641.png,https://www.personality-database.com/profile/32641/steve-shives-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,,,,2,
Ne,Fi,,81%,92%,Te,,65%,46%,19%,73%,,27%,8%,,Si,,https://api.personality-database.com/profile_images/23540.png,https://www.personality-database.com/profile/23540/steven-williams-boogie2988-online-gamers-game-critics-mbti-personality-type,,2,,,,,,,,10,,5,7,2,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/48242/tara-mccarthy-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,,,,,,
Te,Ni,,,93%,Se,87%,93%,0%,93%,,,7%,0%,100%,Fi,,https://api.personality-database.com/profile_images/14850.png,https://www.personality-database.com/profile/14850/tarl-warwick-styxhexenhammer666-online-social-cultural-political-commentators-mbti-personality-type,,,,1,,,,,,,12,1,,,1,
Ni,Te,100%,,,Fi,100%,75%,0%,75%,,,25%,0%,100%,Se,,https://api.personality-database.com/profile_images/35341.png,https://www.personality-database.com/profile/35341/the-amazing-lucas-online-social-cultural-political-commentators-mbti-personality-type,,,3,,,,1,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,36%,64%,,,0%,0%,64%,Fi,,https://api.personality-database.com/profile_images/22767.png,https://www.personality-database.com/profile/22767/the-right-opinion-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,4,,7,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/47513/the-wandering-wojak-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Fe,Fe,,100%,,Se,100%,100%,100%,0%,,,0%,0%,,Se,50%,https://api.personality-database.com/profile_images/10882.png,https://www.personality-database.com/profile/10882/timon-klengan-online-social-cultural-political-commentators-mbti-personality-type,1,,,,,,,,1,,,,,,,
Ne,Ti,,,72%,Fe,,97%,0%,97%,94%,,0%,3%,100%,Si,,https://api.personality-database.com/profile_images/10149.png,https://www.personality-database.com/profile/10149/tj-kirk-the-amazing-atheist-online-social-cultural-political-commentators-mbti-personality-type,,,,9,,,,,,,2,20,,,,1
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/21629.png,https://www.personality-database.com/profile/21629/tom-harlock-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/47509/top-dollar-black-pill-gangster-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Te,60%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,https://api.personality-database.com/profile_images/28208.png,https://www.personality-database.com/profile/28208/undoomed-online-social-cultural-political-commentators-mbti-personality-type,,,3,,,,,,,,2,,,,,
Fi,Ne,100%,,,Si,,100%,50%,50%,100%,,0%,0%,,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/45602/vaush-online-social-cultural-political-commentators-mbti-personality-type,,1,,1,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,,0%,50%,100%,,0%,50%,100%,Ni,50%,https://api.personality-database.com/profile_images/23834.png,https://www.personality-database.com/profile/23834/viktor-roth-iblali-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,1
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/34920/virgil-texas-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,2,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/40217/vivian-veritas-thetruthwilllive-online-social-cultural-political-commentators-mbti-personality-type,,,,,,,,,,,,1,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/34922/will-menaker-online-social-cultural-political-commentators-mbti-personality-type,,,,2,,,,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/47339/zach-hing-online-social-cultural-political-commentators-mbti-personality-type,,,,,1,,,,,,,,,,,
Ti,Ni,,,,Ni,,67%,0%,67%,67%,,0%,33%,100%,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/14810/chris-broad-abroad-in-japan-online-travel-culture-vloggers-mbti-personality-type,,,,1,,,,2,,,2,1,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/30214.png,https://www.personality-database.com/profile/30214/conner-sullivan-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,1,,,,,,,,
Ne,Ti,,,100%,Fe,,76%,29%,48%,67%,,19%,5%,71%,Si,,https://api.personality-database.com/profile_images/18724.png,https://www.personality-database.com/profile/18724/daniel-lord-hiding-in-my-room-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,,,6,3,7,,,4,1
Fi,Ne,100%,67%,,Si,,67%,33%,33%,67%,,33%,0%,,Fe,,https://api.personality-database.com/profile_images/30035.png,https://www.personality-database.com/profile/30035/evan-edinger-online-travel-culture-vloggers-mbti-personality-type,,2,,2,2,,,,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/33077/irfan-junejo-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,,,,,,1,,,
Ne,Ti,,,67%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/9243.png,https://www.personality-database.com/profile/9243/joe-hanson-joe-goes-online-travel-culture-vloggers-mbti-personality-type,,,,1,,,,,,,,2,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/30518.png,https://www.personality-database.com/profile/30518/john-luc-chonnyday-mychonny-online-travel-culture-vloggers-mbti-personality-type,,,,,,2,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/30062.png,https://www.personality-database.com/profile/30062/louis-cole-funforlouis-online-travel-culture-vloggers-mbti-personality-type,1,,,,,,,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/34515.png,https://www.personality-database.com/profile/34515/luis-arturo-villar-luisito-comunica-online-travel-culture-vloggers-mbti-personality-type,5,,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/22004.png,https://www.personality-database.com/profile/22004/micaela-braithwaite-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Fe,100%,,,Fi,100%,,50%,0%,,,50%,0%,,Ne,50%,https://api.personality-database.com/profile_images/27544.png,https://www.personality-database.com/profile/27544/mira-nagayama-kanadajin3-online-travel-culture-vloggers-mbti-personality-type,1,,,,,,1,,,,,,,,,
Fi,Ne,100%,100%,,Ni,,,50%,0%,100%,,0%,50%,,Te,50%,https://api.personality-database.com/profile_images/14811.png,https://www.personality-database.com/profile/14811/natsuki-aso-abroad-in-japan-online-travel-culture-vloggers-mbti-personality-type,,2,,,,2,,,,,,,,,,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,100%,Fe,,https://api.personality-database.com/profile_images/23904.png,https://www.personality-database.com/profile/23904/pppeter-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,1,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/15778.png,https://www.personality-database.com/profile/15778/venus-angelic-online-travel-culture-vloggers-mbti-personality-type,4,,,,,,,,,,,,,,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/27078.png,https://www.personality-database.com/profile/27078/winston-sterzel-serpentza-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,,,,,,,,,1
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/49015.png,https://www.personality-database.com/profile/49015/alexandre-ottoni-jovem-nerd-online-vloggers-mbti-personality-type,,,,,,,,,,,,4,,,,
Fi,Se,100%,100%,,Ni,,,40%,0%,60%,60%,0%,60%,,Te,,https://api.personality-database.com/profile_images/29852.png,https://www.personality-database.com/profile/29852/alfie-deyes-online-vloggers-mbti-personality-type,2,,,,,3,,,,,,,,,,
Fi,Ne,86%,93%,,Si,,64%,64%,0%,64%,,14%,21%,,Te,,https://api.personality-database.com/profile_images/28235.png,https://www.personality-database.com/profile/28235/alissa-violet-online-vloggers-mbti-personality-type,3,6,,,2,1,,,,,,,,1,,1
Si,Fe,,,,Ne,100%,,0%,0%,,100%,100%,0%,,Fi,50%,https://api.personality-database.com/profile_images/7107.png,https://www.personality-database.com/profile/7107/ally-hardesty-online-vloggers-mbti-personality-type,,,,,1,,,,,,,,,,1,
Fi,Se,100%,100%,,Ni,,,33%,0%,100%,67%,0%,67%,,Te,,https://api.personality-database.com/profile_images/10758.png,https://www.personality-database.com/profile/10758/alonzo-lerone-online-vloggers-mbti-personality-type,,1,,,,2,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/16936.png,https://www.personality-database.com/profile/16936/ami-yamato-online-vloggers-mbti-personality-type,,,,,,,,,,,,1,,,,
Fi,Se,100%,,,Ni,,,20%,0%,80%,80%,20%,60%,60%,Fe,,https://api.personality-database.com/profile_images/7109.png,https://www.personality-database.com/profile/7109/anna-campbell-online-vloggers-mbti-personality-type,,1,,,,1,1,2,,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,https://api.personality-database.com/profile_images/22804.png,https://www.personality-database.com/profile/22804/anthonin-online-vloggers-mbti-personality-type,,,,,,1,,,,,,,,,,
Se,Fi,,67%,100%,Te,,,0%,33%,100%,67%,0%,67%,,Ni,,https://api.personality-database.com/profile_images/33594.png,https://www.personality-database.com/profile/33594/anthony-brady-jinx-online-vloggers-mbti-personality-type,,,,,,,,,,,,1,,2,,
Se,Ti,,,100%,Fe,,,0%,0%,100%,100%,0%,100%,100%,Ni,,https://api.personality-database.com/profile_images/22216.png,https://www.personality-database.com/profile/22216/austin-heikes-luna-online-vloggers-mbti-personality-type,,,,,,,,,,,,,,,,2
Fi,Ne,67%,,,Fi,,83%,50%,33%,,,17%,0%,,Se,50%,https://api.personality-database.com/profile_images/7394.png,https://www.personality-database.com/profile/7394/barbara-horvat-barbara4u2c-online-vloggers-mbti-personality-type,,2,2,,,,,,,1,,,,,1,
Ti,Se,100%,,,Ni,,,0%,0%,100%,100%,0%,100%,67%,Fe,,https://api.personality-database.com/profile_images/13578.png,https://www.personality-database.com/profile/13578/bart-kwan-justkiddingfilms-online-vloggers-mbti-personality-type,,,,,,1,,2,,,,,,,,
Ti,Ne,100%,,,Ni,,,0%,50%,100%,,0%,50%,75%,Fe,50%,https://api.personality-database.com/profile_images/34267.png,https://www.personality-database.com/profile/34267/berlin-edmond-berleezy-online-comedians-mbti-personality-type,,,,2,,1,,1,,,,,,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/44567/bethany-mota-online-vloggers-mbti-personality-type,,,,,,,,,,,,,1,,,
Fe,Si,,100%,100%,Ne,100%,,0%,0%,,100%,100%,0%,,Ti,,https://api.personality-database.com/profile_images/48586.png,https://www.personality-database.com/profile/48586/bolvia-desimpedidos-online-vloggers-mbti-personality-type,,,,,,,,,,,,,1,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/30444.png,https://www.personality-database.com/profile/30444/brittani-louise-taylor-online-comedians-mbti-personality-type,,,,,3,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/24199.png,https://www.personality-database.com/profile/24199/brooke-leigh-thorne-presshearttocontinue-dodger-leigh-online-gamers-game-critics-mbti-personality-type,,3,,,,,,,,,,,,,,
Fi,Se,100%,75%,,Ni,,,0%,5%,100%,95%,0%,95%,,Te,,https://api.personality-database.com/profile_images/10300.png,https://www.personality-database.com/profile/10300/bryan-le-ricegum-online-vloggers-mbti-personality-type,,,,1,,15,,4,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,https://api.personality-database.com/profile_images/50250.png,https://www.personality-database.com/profile/50250/carlos-garca-snchez-triline-online-vloggers-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Fe,,100%,,Ti,75%,100%,100%,0%,,,0%,0%,,Se,50%,https://api.personality-database.com/profile_images/29836.png,https://www.personality-database.com/profile/29836/carrie-hope-fletcher-online-musicians-music-critics-mbti-personality-type,2,,,,,,,,1,1,,,,,,
Fi,Ne,75%,,,Si,,75%,50%,25%,,,25%,0%,,Te,50%,https://api.personality-database.com/profile_images/34500.png,https://www.personality-database.com/profile/34500/casey-neistat-online-vloggers-mbti-personality-type,,2,1,,,,,,,,,,,,1,
Si,Fe,100%,100%,,Ti,100%,,33%,0%,,67%,67%,0%,,Ne,,https://api.personality-database.com/profile_images/31873.png,https://www.personality-database.com/profile/31873/catherine-valdes-catrific-online-vloggers-mbti-personality-type,2,,,,4,,,,,,,,,,,
Fi,Ne,100%,,,Ni,,,0%,50%,100%,,0%,50%,,Fe,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/46892/chad-roberts-anything4views-online-vloggers-mbti-personality-type,,,,1,,1,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/29568.png,https://www.personality-database.com/profile/29568/chris-kendall-crabstickz-online-comedians-mbti-personality-type,,,,,,,,,,4,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/43770.png,https://www.personality-database.com/profile/43770/claudia-andriolo-haru-jiggly-online-vloggers-mbti-personality-type,,1,,,,,,,,,,,,,,
Ne,Fi,,100%,100%,Te,,,50%,0%,100%,,0%,50%,,Ni,50%,https://api.personality-database.com/profile_images/47641.png,https://www.personality-database.com/profile/47641/colby-brock-online-vloggers-mbti-personality-type,,,,,,,,,,1,,,,1,,
Fe,Fe,60%,100%,,Ti,80%,,40%,0%,,60%,60%,0%,,Ne,,https://api.personality-database.com/profile_images/30081.png,https://www.personality-database.com/profile/30081/connor-franta-online-vloggers-mbti-personality-type,,1,,,2,,,,1,,,,1,,,
Si,Fe,100%,,,Ni,,,0%,0%,,100%,50%,50%,,Fe,50%,https://api.personality-database.com/profile_images/32713.png,https://www.personality-database.com/profile/32713/cordero-brady-cj-so-cool-online-vloggers-mbti-personality-type,,,,,1,,,1,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/25494/cory-williams-liveeachday-online-vloggers-mbti-personality-type,,1,,,,,,,,,,,,,,
Fe,Ni,,90%,93%,Se,81%,98%,88%,10%,,,2%,0%,,Ti,,https://api.personality-database.com/profile_images/5790.png,https://www.personality-database.com/profile/5790/dan-howell-online-comedians-mbti-personality-type,,1,,3,,,,,44,6,2,1,1,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47232/dancing-dove-online-vloggers-mbti-personality-type,,,,,,,,,1,,,,,,,
Se,Fi,,100%,100%,Te,,,0%,0%,100%,100%,0%,100%,,Ni,,https://api.personality-database.com/profile_images/50248.png,https://www.personality-database.com/profile/50248/daniel-garca-snchez-8cho-online-vloggers-mbti-personality-type,,,,,,,,,,,,,,1,,
Ne,Ti,,,100%,Fe,,76%,29%,48%,67%,,19%,5%,71%,Si,,https://api.personality-database.com/profile_images/18724.png,https://www.personality-database.com/profile/18724/daniel-lord-hiding-in-my-room-online-travel-culture-vloggers-mbti-personality-type,,,,,,,,,,6,3,7,,,4,1
Ti,Ne,100%,,,Si,,100%,0%,100%,75%,,0%,0%,100%,Fe,,https://api.personality-database.com/profile_images/30269.png,https://www.personality-database.com/profile/30269/daniel-santom-lemus-dalasreview-online-vloggers-mbti-personality-type,,,3,9,,,,,,,,,,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/48405/danielle-e-brockman-online-vloggers-mbti-personality-type,,,,,,,1,,,,,,,,,
Si,Fe,100%,100%,,Ti,100%,,0%,0%,,100%,100%,0%,,Ne,,https://api.personality-database.com/profile_images/30322.png,https://www.personality-database.com/profile/30322/elijah-wireman-maddie-and-elijah-online-vloggers-mbti-personality-type,,,,,1,,,,,,,,,,,
Ti,Se,94%,,,Ni,,,3%,5%,92%,92%,1%,91%,69%,Fe,,https://api.personality-database.com/profile_images/9716.png,https://www.personality-database.com/profile/9716/jake-paul-online-vloggers-mbti-personality-type,,,2,1,,21,,49,2,,1,,1,,,1
