Aux,Dom,E,F,I,Inf,J,N,NF,NT,P,S,SJ,SP,T,Tert,X,img_url,profile,votes_ENFJ,votes_ENFP,votes_ENTJ,votes_ENTP,votes_ESFJ,votes_ESFP,votes_ESTJ,votes_ESTP,votes_INFJ,votes_INFP,votes_INTJ,votes_INTP,votes_ISFJ,votes_ISFP,votes_ISTJ,votes_ISTP
Fe,Ni,,96%,96%,Se,,96%,96%,0%,,,0%,4%,,Ti,50%,https://api.personality-database.com/profile_images/30954.png,https://www.personality-database.com/profile/30954/frank-james-online-psychology-personal-development-mbti-personality-type,,,,,,,,1,14,13,,,,,,
Fe,Ni,,100%,100%,Se,100%,67%,67%,0%,,,33%,0%,,Ti,,https://api.personality-database.com/profile_images/47237.png,https://www.personality-database.com/profile/47237/gianna-infj-instinct-online-psychology-personal-development-mbti-personality-type,,,,,,,,,2,,,,1,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/47240/ian-fjay-online-psychology-personal-development-mbti-personality-type,3,,,,,,,,,,,,,,,
Ti,Ne,100%,,,Si,,100%,0%,100%,100%,,0%,0%,100%,Fe,,/images/profile_transparent.png,https://www.personality-database.com/profile/40451/jeffrey-autoalchemy-online-psychology-personal-development-mbti-personality-type,,,,2,,,,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/48638/jennifer-brave-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,https://api.personality-database.com/profile_images/30219.png,https://www.personality-database.com/profile/30219/jessica-mccabe-how-to-adhd-online-psychology-personal-development-mbti-personality-type,,3,,,,,,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47235/joanna-zbroniec-mindmastery-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Si,Te,75%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,https://api.personality-database.com/profile_images/31354.png,https://www.personality-database.com/profile/31354/jocko-willink-online-psychology-personal-development-mbti-personality-type,,,,,,,3,,,,,,,,1,
Fi,Ne,100%,67%,,Si,,100%,67%,33%,67%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/39206/joel-mark-witt-personality-hacker-online-psychology-personal-development-mbti-personality-type,,2,1,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/47343/juan-e-sandoval-cognitivetypes-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/47241.png,https://www.personality-database.com/profile/47241/katherine-fauvre-online-psychology-personal-development-mbti-personality-type,1,,,,,,,,,,,,,,,
Fe,Si,,100%,75%,Ne,100%,,25%,0%,,75%,75%,0%,,Ti,,https://api.personality-database.com/profile_images/34705.png,https://www.personality-database.com/profile/34705/kati-morton-online-psychology-personal-development-mbti-personality-type,1,,,,,,,,,,,,3,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/47234/ladylullaby-online-psychology-personal-development-mbti-personality-type,,,,,,,,,2,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/49611/lauren-kennedy-living-well-with-schizophrenia-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Fi,Ne,,,60%,Se,,100%,40%,60%,60%,,0%,0%,60%,Fi,,https://api.personality-database.com/profile_images/33185.png,https://www.personality-database.com/profile/33185/leo-gura-actualizedorg-online-psychology-personal-development-mbti-personality-type,,2,,,,,,,,,2,1,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,https://api.personality-database.com/profile_images/33474.png,https://www.personality-database.com/profile/33474/leon-tsao-type-tips-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,12,,,,,,
Ne,Fi,,100%,100%,Te,,100%,100%,0%,100%,,0%,0%,,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/49354/lex-morningstar-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,1,,,,,,
Fi,Se,,,,Ni,,,0%,17%,,83%,33%,50%,,Fi,50%,/images/profile_transparent.png,https://www.personality-database.com/profile/40455/lindsay-l-j-online-psychology-personal-development-mbti-personality-type,,,,,,3,,,,,1,,,,2,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/48926/living-my-purpose-online-psychology-personal-development-mbti-personality-type,,,1,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/49554/maja-toudal-theanmish-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,1,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/47304/marni-kinrys-marni-your-personal-wing-girl-online-psychology-personal-development-mbti-personality-type,1,,,,,,,,,,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/41885/marshall-on-online-psychology-personal-development-mbti-personality-type,,,,,,,,,1,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/45279/matt-cross-online-psychology-personal-development-mbti-personality-type,,,1,,,,,,,,,,,,,
Te,Ni,,,100%,Se,100%,100%,0%,100%,,,0%,0%,100%,Fi,,/images/profile_transparent.png,https://www.personality-database.com/profile/47573/mec-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,2,,,,,
Ni,Fe,100%,80%,,Ti,100%,100%,80%,20%,,,0%,0%,,Se,,https://api.personality-database.com/profile_images/33435.png,https://www.personality-database.com/profile/33435/meghan-levota-online-psychology-personal-development-mbti-personality-type,16,,4,,,,,,,,,,,,,
Fi,Ne,100%,100%,,Si,,100%,100%,0%,100%,,0%,0%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/40452/michelle-wilson-online-psychology-personal-development-mbti-personality-type,,3,,,,,,,,,,,,,,
Ne,Ti,,,100%,Fe,,100%,0%,100%,100%,,0%,0%,100%,Si,,/images/profile_transparent.png,https://www.personality-database.com/profile/48409/nathan-glass-love-who-online-psychology-personal-development-mbti-personality-type,,,,,,,,,,,,2,,,,
Fe,Ni,,86%,86%,Se,71%,100%,86%,14%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/32790.png,https://www.personality-database.com/profile/32790/nathaniel-drew-online-psychology-personal-development-mbti-personality-type,,,1,,,,,,4,2,,,,,,
Fe,Ni,,100%,100%,Se,100%,100%,100%,0%,,,0%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/45772/olivia-thinker-of-everything-online-psychology-personal-development-mbti-personality-type,,,,,,,,,2,,,,,,,
Fi,Se,100%,100%,,Ni,,,0%,0%,100%,100%,0%,100%,,Te,,/images/profile_transparent.png,https://www.personality-database.com/profile/49910/psychology-tea-online-psychology-personal-development-mbti-personality-type,,,,,,1,,,,,,,,,,
Ni,Te,100%,,,Fi,100%,100%,0%,100%,,,0%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/40456/raquel-buchanan-online-psychology-personal-development-mbti-personality-type,,,1,,,,,,,,,,,,,
Fe,Si,,100%,67%,Ne,67%,,33%,0%,,67%,67%,0%,,Ti,,/images/profile_transparent.png,https://www.personality-database.com/profile/46669/rebecca-adventures-of-an-enfp-online-psychology-personal-development-mbti-personality-type,,1,,,,,,,,,,,2,,,
Si,Te,100%,,,Fi,100%,,0%,0%,,100%,100%,0%,100%,Ne,,/images/profile_transparent.png,https://www.personality-database.com/profile/45598/redpill-mbti-online-psychology-personal-development-mbti-personality-type,,,,,,,3,,,,,,,,,
Ni,Fe,100%,100%,,Ti,100%,100%,100%,0%,,,0%,0%,,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/49913/sara-sara-mbti-online-psychology-personal-development-mbti-personality-type,5,,,,,,,,,,,,,,,
Fe,Ni,,80%,100%,Se,100%,100%,80%,20%,,,0%,0%,,Ti,,https://api.personality-database.com/profile_images/33475.png,https://www.personality-database.com/profile/33475/scott-morgan-online-psychology-personal-development-mbti-personality-type,,,,,,,,,4,,1,,,,,
Ni,Te,100%,,,Fi,100%,60%,0%,60%,,,40%,0%,100%,Se,,/images/profile_transparent.png,https://www.personality-database.com/profile/40619/shannon-renee-objective-personality-online-psychology-personal-development-mbti-personality-type,,,3,,,,2,,,,,,,,,
